vo_pair,mean_abs_diff,basic_nfunction_types,lexical_density_tokens,log_ttr_aw,log_ttr_cw,maas_ttr_aw,maas_ttr_cw,maas_ttr_fw,mattr50_fw,msttr50_fw,hdd42_fw,mtld_original_fw,mtld_ma_bi_fw,mtld_ma_wrap_cw,mtld_ma_wrap_fw,basic_ntypes,basic_ncontent_types,lexical_density_types,simple_ttr_aw,simple_ttr_cw,simple_ttr_fw,root_ttr_aw,root_ttr_cw,root_ttr_fw,log_ttr_fw,mattr50_aw,msttr50_aw,msttr50_cw,hdd42_aw,mtld_original_aw,mtld_original_cw,mtld_ma_bi_aw,mtld_ma_wrap_aw,mattr50_cw,mtld_ma_bi_cw,basic_ntokens,basic_ncontent_tokens,basic_nfunction_tokens,hdd42_cw
ruin career / shipwreck career,4.162207897260034,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal
cause doubt / sow doubt,0.5251554653853953,higher in literal,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,higher in literal,higher in literal,higher in literal,,higher in literal,,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,,higher in literal,,,,,,,,,,
cause death / sow death,0.9575366362245156,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in literal,higher in literal,,higher in literal,higher in literal,,higher in literal,,,,
cause confusion / sow confusion,0.973444259356785,higher in metaphorical,higher in metaphorical,,,higher in literal,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical
cause chaos / sow chaos,1.45328961079783,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,
cause conflict / sow conflict,1.327286760645643,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in literal,higher in metaphorical,higher in literal,,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal
cause panic / sow panic,2.3299497285509627,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,
cause fear / sow fear,1.144540349517107,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,,,,,,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,
cause violence / sow violence,1.3999609374163755,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,,higher in literal,,higher in literal,,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal
cause uncertainty / sow uncertainty,2.2540010096805823,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,
cause terror / sow terror,1.1640648161148643,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,higher in literal,,,,,higher in metaphorical,,higher in literal,higher in literal,higher in literal,
cause hatred / sow hatred,1.4491021860281375,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,
cause excitement / stir excitement,1.317089818199615,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,
cause confusion / stir confusion,1.523369150847494,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,,,,,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,,,,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,
cause reaction / stir reaction,1.2939869467224288,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,,,,,,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,
cause feeling / stir feeling,0.6609161099976951,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,,,higher in literal,,higher in literal,higher in literal,,,higher in literal,higher in literal,higher in literal,
attract worker / suck worker,1.4473439681000304,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,
attract talent / suck talent,0.9332386724028229,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,,higher in literal,,higher in literal,,higher in literal,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,
address question / tackle question,1.320447487724578,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in literal,,,,,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,
address issue / tackle issue,0.6828040044021567,,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,,,,higher in literal,higher in literal,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,
address problem / tackle problem,0.7406281882822376,higher in literal,,,,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,,,,,,,,,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,
address concern / tackle concern,0.8165117649849515,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in literal,
address challenge / tackle challenge,1.3966762539537694,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,
address point / tackle point,1.3457649133152412,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,
address crisis / tackle crisis,0.5526929684906121,,,,,higher in metaphorical,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,higher in literal,higher in literal,,,,,,higher in literal,,higher in literal,,,,higher in literal,higher in literal,higher in literal,higher in literal,
address matter / tackle matter,1.297084205710877,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in literal,higher in literal,higher in literal,
address task / tackle task,0.763192480748588,higher in metaphorical,higher in literal,higher in literal,,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,,,,,
experience freedom / taste freedom,0.8904772397809396,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,,,,,higher in literal
experience pain / taste pain,2.005084216809631,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,,,higher in literal,,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,
experience life / taste life,1.1130243947277918,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,,higher in metaphorical,,,,,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,,,,,,,,,higher in literal,higher in literal,higher in literal,
experience joy / taste joy,0.947050322145002,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,,higher in literal,,,,,,,higher in literal,higher in literal,higher in literal,
make remark / throw remark,1.6690589785216885,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,
make comment / throw comment,1.287663644868161,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,
misinterpret word / twist word,0.5710586104931021,higher in metaphorical,,higher in literal,higher in literal,,higher in metaphorical,,,,,,,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,,,,,higher in literal,,,,higher in literal,,,higher in metaphorical,
misinterpret fact / twist fact,1.0289606919629142,higher in metaphorical,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,,,
misinterpret comment / twist comment,0.6254229544017956,higher in literal,,,,higher in metaphorical,,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,,,higher in literal,higher in metaphorical,,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,,,
misinterpret situation / twist situation,0.783767782594665,,higher in literal,,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,,,higher in literal,,,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,,higher in literal,higher in literal,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,,,,higher in literal
misinterpret information / twist information,0.6941504886302542,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,,,,,higher in literal,higher in literal,,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,higher in literal,,higher in literal,,,higher in metaphorical,higher in literal,,,,
have smile / wear smile,1.3982254455177667,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,,,,,,higher in metaphorical,,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical
